INPUT:image_left	INPUT:image_right	GOLDEN:result	HINT:text
highlightdisk/screenshot_emails/tf_idf_custom/letter1.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter1.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter1.png	highlightdisk/screenshot_emails/tf_idf_custom/letter1.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter10.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter10.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter10.png	highlightdisk/screenshot_emails/tf_idf_custom/letter10.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter11.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter11.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter11.png	highlightdisk/screenshot_emails/tf_idf_custom/letter11.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter12.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter12.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter12.png	highlightdisk/screenshot_emails/tf_idf_custom/letter12.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter13.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter13.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter13.png	highlightdisk/screenshot_emails/tf_idf_custom/letter13.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter14.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter14.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter14.png	highlightdisk/screenshot_emails/tf_idf_custom/letter14.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter15.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png	highlightdisk/screenshot_emails/tf_idf_custom/letter15.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter16.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter16.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter16.png	highlightdisk/screenshot_emails/tf_idf_custom/letter16.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter17.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png	highlightdisk/screenshot_emails/tf_idf_custom/letter17.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter18.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter18.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter18.png	highlightdisk/screenshot_emails/tf_idf_custom/letter18.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter19.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter19.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter19.png	highlightdisk/screenshot_emails/tf_idf_custom/letter19.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter2.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter2.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter2.png	highlightdisk/screenshot_emails/tf_idf_custom/letter2.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter20.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter20.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter20.png	highlightdisk/screenshot_emails/tf_idf_custom/letter20.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter3.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter3.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter3.png	highlightdisk/screenshot_emails/tf_idf_custom/letter3.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter4.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter4.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter4.png	highlightdisk/screenshot_emails/tf_idf_custom/letter4.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter5.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter5.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter5.png	highlightdisk/screenshot_emails/tf_idf_custom/letter5.png		
highlightdisk/screenshot_emails/tf_idf_custom/letter6.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter6.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter6.png	highlightdisk/screenshot_emails/tf_idf_custom/letter6.png		
