INPUT:image_left	INPUT:image_right	GOLDEN:result	HINT:text
highlightdisk/screenshot_emails/tf_idf_embeddings/letter1.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter1.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter1.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter1.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter10.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter10.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter10.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter10.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter11.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter11.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter11.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter11.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter12.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter12.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter12.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter12.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter13.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter13.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter13.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter13.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter14.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter14.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter14.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter14.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter15.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter15.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter16.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter16.png		
highlightdisk/screenshot_emails/tf_idf_wiki/letter16.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter16.png		
highlightdisk/screenshot_emails/tf_idf_embeddings/letter17.png	highlightdisk/screenshot_emails/tf_idf_wiki/letter17.png		
